"filename", "language", "Batch", "C++", "comment", "blank", "total"
"c:\Users\71fru\Documents\GitHub\ONEGKA\formater\format_file.cpp", "C++", 0, 65, 1, 25, 91
"c:\Users\71fru\Documents\GitHub\ONEGKA\formater\format_file.h", "C++", 0, 9, 0, 4, 13
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\argv_work.h", "C++", 0, 13, 0, 6, 19
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\comparator.h", "C++", 0, 7, 0, 3, 10
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\free.h", "C++", 0, 6, 0, 3, 9
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\printer.h", "C++", 0, 6, 0, 3, 9
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\read_file.h", "C++", 0, 25, 0, 8, 33
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\lib\sort.h", "C++", 0, 6, 0, 3, 9
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\run.bat", "Batch", 3, 0, 0, 0, 3
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\argv_work.cpp", "C++", 0, 24, 0, 6, 30
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\comparator.cpp", "C++", 0, 77, 4, 27, 108
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\free.cpp", "C++", 0, 11, 0, 3, 14
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\main.cpp", "C++", 0, 33, 8, 14, 55
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\printer.cpp", "C++", 0, 11, 1, 5, 17
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\read_file.cpp", "C++", 0, 65, 6, 23, 94
"c:\Users\71fru\Documents\GitHub\ONEGKA\sort_text\src\sort.cpp", "C++", 0, 44, 0, 15, 59
"Total", "-", 3, 402, 20, 148, 573
